"","date","scotland_new_cases","scotland_seven_day_average"
"725","2020-04-27",197,295.857142857143
"726","2020-04-26",273,305.285714285714
"727","2020-04-25",354,318.714285714286
"728","2020-04-24",288,326.857142857143
"729","2020-04-23",371,329.571428571429
"730","2020-04-22",366,327.142857142857
"731","2020-04-21",222,330.571428571429
"732","2020-04-20",263,340.428571428571
"733","2020-04-19",367,325
"734","2020-04-18",411,318.571428571429
"735","2020-04-17",307,304.857142857143
"736","2020-04-16",354,306.428571428571
"737","2020-04-15",390,311.857142857143
"738","2020-04-14",291,304.142857142857
"739","2020-04-13",155,300.857142857143
"740","2020-04-12",322,315.142857142857
"741","2020-04-11",315,320.714285714286
"742","2020-04-10",318,324.857142857143
"743","2020-04-09",392,336.428571428571
"744","2020-04-08",336,322.142857142857
"745","2020-04-07",268,319.428571428571
"746","2020-04-06",255,342.571428571429
"747","2020-04-05",361,331.714285714286
"748","2020-04-04",344,300
"749","2020-04-03",399,277.428571428571
"750","2020-04-02",292,244
"751","2020-04-01",317,227.285714285714
"752","2020-03-31",430,201.285714285714
"753","2020-03-30",179,152
"754","2020-03-29",139,138.285714285714
"755","2020-03-28",186,124.571428571429
"756","2020-03-27",165,105.285714285714
"757","2020-03-26",175,89.7142857142857
"758","2020-03-25",135,70.2857142857143
"759","2020-03-24",85,55.5714285714286
"760","2020-03-23",83,46.8571428571429
"761","2020-03-22",43,37.5714285714286
"762","2020-03-21",51,36
"763","2020-03-20",56,33.8571428571429
"764","2020-03-19",39,29.4285714285714
"765","2020-03-18",32,27.2857142857143
"766","2020-03-17",24,24
"767","2020-03-16",18,21.1428571428571
"768","2020-03-15",32,19.2857142857143
"769","2020-03-14",36,15
"770","2020-03-13",25,10.5714285714286
"771","2020-03-12",24,7.71428571428571
"772","2020-03-11",9,4.71428571428571
"773","2020-03-10",4,3.71428571428571
"774","2020-03-09",5,3.14285714285714
"775","2020-03-08",2,2.57142857142857
"776","2020-03-07",5,NA
"777","2020-03-06",5,NA
"778","2020-03-05",3,NA
"779","2020-03-04",2,NA
"780","2020-03-03",0,NA
"781","2020-03-02",1,NA
