"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"266","2020-11-26",14637,15120.1428571429,1251,927,1225,939.142857142857,442,343.142857142857
"267","2020-11-27",13557,14507.5714285714,1105,939.142857142857,969,932.142857142857,391,346.285714285714
"268","2020-11-28",13323,13894.4285714286,1445,1000.42857142857,788,918,315,340.285714285714
"269","2020-11-29",10054,12949.5714285714,1004,1028.42857142857,746,904,351,341.571428571429
"270","2020-11-30",10869,12598.1428571429,802,1015.57142857143,369,821.142857142857,290,343
"271","2020-12-01",11618,12850.1428571429,667,1025.85714285714,754,818.714285714286,391,387.571428571429
"272","2020-12-02",13323,12483,1480,1107.71428571429,951,828.857142857143,416,370.857142857143
"273","2020-12-03",11992,12105.1428571429,1473,1139.42857142857,958,790.714285714286,456,372.857142857143
"274","2020-12-04",13412,12084.4285714286,1471,1191.71428571429,966,790.285714285714,449,381.142857142857
"275","2020-12-05",12666,11990.5714285714,1645,1220.28571428571,777,788.714285714286,451,400.571428571429
"276","2020-12-06",14294,12596.2857142857,1916,1350.57142857143,643,774,419,410.285714285714
"277","2020-12-07",11623,12704,2021,1524.71428571429,677,818,397,425.571428571429
"278","2020-12-08",10459,12538.4285714286,780,1540.85714285714,692,809.142857142857,351,419.857142857143
"279","2020-12-09",12960,12486.5714285714,2238,1649.14285714286,897,801.428571428571,483,429.428571428571
"280","2020-12-10",17622,13290.8571428571,1968,1719.85714285714,933,797.857142857143,441,427.285714285714
"281","2020-12-11",17899,13931.8571428571,2234,1828.85714285714,1001,802.857142857143,538,440
"282","2020-12-12",17468,14617.8571428571,2494,1950.14285714286,1064,843.857142857143,476,443.571428571429
"283","2020-12-13",17164,15027.8571428571,0,1676.42857142857,800,866.285714285714,483,452.714285714286
"284","2020-12-14",17882,15922,1228,1563.14285714286,734,874.428571428571,419,455.857142857143
"285","2020-12-15",16504,16785.5714285714,615,1539.57142857143,845,896.285714285714,486,475.142857142857
"286","2020-12-16",23432,18281.5714285714,530,1295.57142857143,689,866.571428571429,510,479
"287","2020-12-17",22401,18964.2857142857,11468,2652.71428571429,858,855.857142857143,656,509.714285714286
"288","2020-12-18",24452,19900.4285714286,2801,2733.71428571429,744,819.142857142857,510,505.714285714286
"289","2020-12-19",22775,20658.5714285714,3065,2815.28571428571,572,748.857142857143,640,529.142857142857
